                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.3737,                0.69229,                 1.0481,                 1.5474,                0.70231,                 1.0696,                 0.8306,                0.75757,                0.81038,                0.30954,                 1.9656,                0.92362,                 1.2822,                 2.0287,                0.91088,                 1.3267,               0.001307,               0.001307,               0.001307
                     38,                 1.3515,                0.68559,                 1.0426,                 1.5291,                0.67861,                 1.0668,                0.81115,                 0.7897,                0.83957,                0.33367,                 1.9079,                 0.9171,                 1.2629,                 1.9928,                0.82112,                 1.3137,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3424,                 0.6794,                 1.0379,                 1.5129,                0.68131,                 1.0577,                0.81709,                0.77648,                0.81271,                0.30934,                 2.0517,                0.94408,                 1.3456,                 2.1931,                0.86894,                 1.3984,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3464,                0.68812,                 1.0404,                 1.5265,                0.68661,                 1.0604,                0.81965,                0.77682,                0.81144,                0.31839,                 1.9801,                0.91411,                 1.3037,                 2.0803,                0.85834,                 1.3498,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3521,                0.68626,                 1.0455,                 1.5295,                0.68667,                 1.0666,                0.83946,                0.77427,                 0.8139,                0.31875,                 2.0197,                0.95198,                 1.3144,                 2.1314,                0.89571,                 1.3441,              0.0012278,              0.0012278,              0.0012278
                     42,                   1.33,                0.67102,                 1.0353,                 1.5073,                0.67421,                 1.0534,                0.77526,                0.80043,                0.78934,                0.30742,                  1.944,                0.90653,                 1.2985,                  2.038,                0.85587,                 1.3306,               0.001208,               0.001208,               0.001208
                     43,                 1.3207,                0.66314,                 1.0373,                 1.4928,                0.66104,                 1.0568,                0.76759,                 0.7867,                0.78587,                0.30649,                 2.0378,                0.93155,                 1.3187,                 2.0675,                0.93637,                 1.3449,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3046,                0.66459,                 1.0325,                 1.4779,                0.66422,                 1.0533,                0.81106,                0.80143,                0.80067,                 0.3051,                 2.1027,                0.92083,                 1.3457,                 2.1977,                0.85692,                 1.3844,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3113,                0.66211,                 1.0298,                 1.4914,                0.65664,                 1.0492,                0.81266,                0.79399,                0.78807,                0.30457,                 2.0203,                0.92818,                 1.3319,                 2.0984,                0.88828,                 1.3606,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2992,                0.65405,                 1.0245,                 1.4769,                0.64261,                 1.0443,                0.83671,                0.78755,                0.82095,                0.32042,                 1.9361,                0.92486,                 1.2877,                 2.0373,                0.84141,                 1.3207,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2983,                0.64012,                 1.0228,                 1.4795,                0.61978,                 1.0464,                0.81928,                0.80043,                0.81733,                0.31475,                 2.0717,                0.92712,                 1.3411,                 2.1181,                0.87323,                 1.3864,               0.001109,               0.001109,               0.001109
                     48,                 1.2846,                0.64168,                 1.0194,                 1.4677,                0.63625,                 1.0444,                0.78636,                0.82833,                0.83778,                0.31875,                 1.9517,                  0.913,                 1.2848,                 2.0438,                0.82693,                 1.3237,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2803,                0.63274,                 1.0152,                 1.4564,                0.60812,                 1.0383,                0.79792,                 0.7618,                0.79672,                0.30783,                 2.0263,                0.93077,                 1.3287,                 2.1233,                0.92387,                 1.3537,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2962,                0.63946,                 1.0164,                 1.4701,                0.62957,                 1.0362,                 0.8151,                0.78112,                0.80943,                0.31941,                 1.9875,                0.91954,                 1.3045,                  2.059,                0.89323,                 1.3303,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2757,                  0.632,                 1.0136,                  1.453,                0.62126,                 1.0356,                0.82051,                0.79399,                0.82122,                 0.3061,                 2.0066,                0.89832,                 1.3107,                 2.1024,                0.84238,                 1.3618,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.266,                0.62727,                 1.0116,                 1.4467,                0.61635,                 1.0353,                  0.798,                0.79688,                0.79627,                0.31282,                 1.9732,                0.88713,                 1.2888,                 2.0533,                0.87225,                 1.3352,                0.00101,                0.00101,                0.00101
                     53,                 1.2724,                0.62675,                 1.0092,                 1.4553,                0.61544,                 1.0321,                0.82523,                0.79828,                0.80854,                0.30774,                 2.0952,                0.90002,                 1.3623,                 2.1633,                0.85558,                 1.3822,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2737,                0.62326,                 1.0126,                 1.4466,                0.60725,                 1.0351,                 0.8155,                0.80043,                0.81697,                0.30938,                 2.0334,                 0.8955,                  1.334,                  2.108,                0.87005,                 1.3638,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2694,                0.62455,                  1.017,                 1.4444,                0.60957,                 1.0413,                0.81992,                0.80119,                0.80434,                0.31068,                 1.9814,                 0.8633,                 1.2963,                  2.041,                0.87927,                 1.3303,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2568,                 0.6158,                 1.0069,                  1.432,                0.60442,                 1.0299,                0.79296,                0.80901,                0.82468,                0.31045,                 2.0412,                0.89639,                 1.3157,                 2.1263,                0.84517,                 1.3602,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2542,                0.61145,                 1.0084,                 1.4313,                0.59704,                 1.0331,                0.79045,                0.82189,                0.80776,                0.31614,                 2.0158,                0.87469,                 1.3166,                 2.0893,                0.84103,                 1.3452,               0.000911,               0.000911,               0.000911
                     58,                 1.2371,                0.60154,                0.99795,                 1.4092,                0.57353,                 1.0225,                 0.8186,                0.81974,                0.81709,                 0.2979,                 2.1008,                0.90152,                 1.3623,                 2.1606,                0.90877,                 1.3894,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2231,                0.59888,                0.99462,                 1.4012,                0.57651,                 1.0174,                0.79163,                0.78326,                0.78725,                0.29975,                 2.0841,                0.92581,                 1.3468,                 2.1499,                0.87585,                 1.4013,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2237,                0.59467,                0.99389,                 1.4045,                0.57319,                 1.0203,                0.78487,                0.78326,                  0.789,                0.30685,                  2.022,                0.89379,                 1.3315,                 2.0843,                0.87468,                 1.3663,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.236,                0.60231,                0.99627,                 1.4124,                0.57621,                 1.0232,                0.77571,                 0.8176,                0.80044,                0.30631,                 2.0419,                0.92499,                 1.3189,                 2.0968,                0.91084,                 1.3721,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2279,                0.59544,                0.99673,                 1.4082,                0.57775,                 1.0237,                0.81655,                0.79614,                 0.8022,                0.30887,                 2.0307,                0.89516,                 1.3343,                 2.0593,                0.85807,                 1.3667,               0.000812,               0.000812,               0.000812
                     63,                 1.2214,                 0.5881,                0.99387,                 1.4018,                0.56229,                 1.0193,                0.80655,                0.81116,                0.81151,                0.31205,                  2.057,                0.86473,                 1.3259,                 2.1343,                0.82239,                 1.3688,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2236,                0.58819,                0.99087,                 1.4023,                 0.5632,                 1.0178,                0.82016,                0.80249,                0.81066,                0.29751,                 2.1756,                0.93411,                  1.396,                 2.2056,                0.89942,                 1.4278,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1935,                 0.5832,                0.98847,                 1.3662,                  0.559,                 1.0143,                 0.8166,                0.80687,                0.81587,                 0.2982,                 2.0873,                0.91332,                 1.3672,                 2.1728,                0.88293,                 1.3934,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2022,                0.57919,                0.99147,                  1.371,                0.54762,                 1.0149,                0.82458,                0.76395,                0.80716,                 0.2993,                 2.0447,                0.87958,                 1.3407,                 2.0865,                0.87681,                 1.3638,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2041,                0.58307,                 0.9865,                 1.3744,                0.54749,                 1.0105,                0.82648,                0.82833,                0.81301,                0.30248,                  2.099,                0.88225,                 1.3527,                 2.1871,                0.83683,                 1.3967,               0.000713,               0.000713,               0.000713
